p_throws,batter,player_name,mean_estimated_woba,pitch_count,pitch_hand_woba_rank
L,453568,"Blackmon, Charlie",0.3091365663716814,113,393.0
L,456781,"Solano, Donovan",0.3333131,120,229.0
L,457705,"McCutchen, Andrew",0.32825538970588236,136,257.0
L,457759,"Turner, Justin",0.36741396402877696,139,73.0
L,467793,"Santana, Carlos",0.36645503164556964,158,80.0
L,500743,"Rojas, Miguel",0.30417026548672566,113,438.0
L,502054,"Pham, Tommy",0.3372317235772358,123,197.0
L,502110,"Martinez, J.D.",0.4236765174825175,143,12.0
L,502671,"Goldschmidt, Paul",0.35535899382716046,162,116.0
L,514888,"Altuve, Jose",0.3445494518072289,166,163.0
L,516782,"Marte, Starling",0.38168555084745764,118,45.0
L,518595,"d'Arnaud, Travis",0.39756630263157894,76,25.0
L,518692,"Freeman, Freddie",0.33440644,225,217.0
L,518934,"LeMahieu, DJ",0.29880056470588234,85,472.0
L,519203,"Rizzo, Anthony",0.2583651855670103,97,717.0
L,519317,"Stanton, Giancarlo",0.3753723546099291,141,55.0
L,521692,"Perez, Salvador",0.3668522580645161,155,76.0
L,527038,"Flores, Wilmer",0.2983039714285714,105,478.0
L,542303,"Ozuna, Marcell",0.36276094375,160,91.0
L,543257,"Grossman, Robbie",0.2984155396825397,126,476.0
L,543309,"Higashioka, Kyle",0.33348903370786515,89,224.0
L,543510,"McCann, James",0.31263635714285715,84,363.0
L,543760,"Semien, Marcus",0.3664146411764706,170,81.0
L,543807,"Springer, George",0.3334153611111111,144,226.0
L,543877,"Vázquez, Christian",0.26947226595744683,94,672.0
L,545121,"Vargas, Ildemaro",0.3162202992125984,127,328.0
L,545341,"Grichuk, Randal",0.39523864480874316,183,26.0
L,547180,"Harper, Bryce",0.37747532034632036,231,52.0
L,553869,"Díaz, Elias",0.27084655,100,666.0
L,553993,"Suárez, Eugenio",0.36093756020942414,191,100.0
L,570482,"Urshela, Gio",0.2541032523364486,107,735.0
L,571448,"Arenado, Nolan",0.316051625,152,332.0
L,571657,"Farmer, Kyle",0.3495556339285714,112,142.0
L,571745,"Haniger, Mitch",0.2771757638888889,144,630.0
L,571771,"Hernández, Enrique",0.31998974342105263,152,303.0
L,571970,"Muncy, Max",0.3517824939759036,83,130.0
L,572138,"Singleton, Jon",0.20805836585365853,82,798.0
L,572191,"Taylor, Michael A.",0.27588059595959596,99,642.0
L,572233,"Walker, Christian",0.3167007712418301,153,322.0
L,573262,"Yastrzemski, Mike",0.2933497553191489,94,526.0
L,575929,"Contreras, Willson",0.37607855172413795,87,54.0
L,578428,"Iglesias, Jose",0.3380795523809524,105,191.0
L,592192,"Canha, Mark",0.33628507258064516,124,205.0
L,592206,"Castellanos, Nick",0.36672702298850574,174,77.0
L,592273,"Drury, Brandon",0.21376612658227848,79,792.0
L,592450,"Judge, Aaron",0.47591097237569063,181,2.0
