batter,player_name,mean_exit_velo,mean_estimated_woba,pitch_count,exit_velo_rank
444482,"Peralta, David",82.85365853658537,0.35409793814432994,194,169.0
453568,"Blackmon, Charlie",80.21678832116788,0.33025561797752806,356,359.0
456781,"Solano, Donovan",81.95921052631579,0.3580877192982456,228,252.0
457705,"McCutchen, Andrew",82.93541315345699,0.40197756410256413,312,163.0
457759,"Turner, Justin",81.37643467643468,0.34737158469945356,366,296.0
467793,"Santana, Carlos",83.82679999999999,0.3476413301662708,421,85.0
500743,"Rojas, Miguel",80.45874730021599,0.3111726618705036,278,348.0
502054,"Pham, Tommy",84.65301003344482,0.3836368876080692,347,35.0
502110,"Martinez, J.D.",83.42936746987952,0.4615245901639345,305,114.0
502671,"Goldschmidt, Paul",84.55844594594593,0.4260805687203792,422,45.0
514888,"Altuve, Jose",80.97568756875687,0.3541166007905138,506,320.0
516782,"Marte, Starling",81.78440366972477,0.4097697594501718,291,268.0
518595,"d'Arnaud, Travis",83.68219178082192,0.39999999999999997,224,93.0
518692,"Freeman, Freddie",83.05432989690722,0.39064102564102565,468,146.0
518735,"Grandal, Yasmani",85.13698630136986,0.3643176470588235,170,22.0
518792,"Heyward, Jason",82.76742857142857,0.32958928571428575,168,181.0
518934,"LeMahieu, DJ",84.752,0.3179883720930233,172,33.0
519203,"Rizzo, Anthony",82.3327868852459,0.3173727598566308,279,220.0
519317,"Stanton, Giancarlo",86.83672727272727,0.5061530612244898,294,4.0
521692,"Perez, Salvador",84.88138528138528,0.42977661795407096,479,29.0
527038,"Flores, Wilmer",79.2631884057971,0.2905833333333333,180,382.0
542303,"Ozuna, Marcell",85.09284090909091,0.5138382687927107,439,23.0
543257,"Grossman, Robbie",81.396,0.3093355263157895,152,293.0
543309,"Higashioka, Kyle",82.71933701657458,0.3939895287958115,191,183.0
543510,"McCann, James",81.52679738562092,0.39015,160,281.0
543685,"Rendon, Anthony",82.47668711656442,0.2826511627906977,172,204.0
543760,"Semien, Marcus",82.43946557040083,0.3351626617375231,541,207.0
543807,"Springer, George",81.36554404145078,0.35303554502369666,422,299.0
543877,"Vázquez, Christian",81.12483370288248,0.32254506437768243,233,313.0
545121,"Vargas, Ildemaro",82.17088607594937,0.279198347107438,242,230.0
545341,"Grichuk, Randal",85.03205128205128,0.41340000000000005,210,24.0
547180,"Harper, Bryce",83.60266370699223,0.43239379474940337,419,101.0
553869,"Díaz, Elias",81.34947368421052,0.316828,250,301.0
553993,"Suárez, Eugenio",83.09008894536214,0.426632241813602,397,143.0
570482,"Urshela, Gio",80.77960057061341,0.3346530054644809,366,332.0
571448,"Arenado, Nolan",82.34647256438969,0.31810950413223144,484,218.0
571657,"Farmer, Kyle",81.98253968253968,0.3238622754491018,167,251.0
571745,"Haniger, Mitch",84.6135593220339,0.37008800000000003,250,41.0
571771,"Hernández, Enrique",82.94527972027971,0.3340614886731391,309,159.0
571970,"Muncy, Max",84.23095238095237,0.4328888888888889,180,64.0
572138,"Singleton, Jon",83.35354691075514,0.37599190283400813,247,118.0
572191,"Taylor, Michael A.",80.8936305732484,0.3772638036809816,163,322.0
572233,"Walker, Christian",83.14635761589403,0.42641907514450866,346,137.0
573262,"Yastrzemski, Mike",84.27001675041876,0.3740496688741722,302,56.0
575929,"Contreras, Willson",83.61846522781775,0.4528955223880597,201,98.0
578428,"Iglesias, Jose",80.80247148288973,0.3236067415730337,267,329.0
592192,"Canha, Mark",81.28101694915254,0.2993322259136213,301,306.0
592206,"Castellanos, Nick",82.22063666300768,0.40504781704781706,481,225.0
592273,"Drury, Brandon",82.21582417582417,0.2918897959183674,245,226.0
592450,"Judge, Aaron",87.68942189421894,0.6279228855721394,402,1.0
592518,"Machado, Manny",85.64504896626768,0.403847280334728,478,13.0
592626,"Pederson, Joc",84.45027624309392,0.4494007782101167,257,54.0
592663,"Realmuto, J.T.",83.48686514886164,0.4255,284,112.0
592669,"Renfroe, Hunter",83.40516605166052,0.32081456953642384,302,115.0
592696,"Rosario, Eddie",82.94758454106281,0.31680542986425336,221,158.0
592885,"Yelich, Christian",83.83,0.41655980861244024,209,84.0
593160,"Merrifield, Whit",79.35797413793104,0.29900000000000004,240,380.0
593428,"Bogaerts, Xander",82.66205787781351,0.3427900552486188,362,187.0
593871,"Polanco, Jorge",83.17618213660245,0.3973561151079137,278,135.0
594807,"Duvall, Adam",82.10120481927711,0.3784187192118227,203,239.0
595281,"Kiermaier, Kevin",79.49742765273312,0.3089294117647059,170,376.0
595777,"Profar, Jurickson",84.2925925925926,0.37373124999999996,480,55.0
595879,"Báez, Javier",81.92263610315186,0.33287128712871283,202,257.0
595909,"Cave, Jake",80.6517094017094,0.36561777777777776,225,341.0
596019,"Lindor, Francisco",85.64242718446602,0.4391698113207547,530,14.0
596103,"Slater, Austin",83.21585365853657,0.35623770491803275,122,130.0
596117,"Stubbs, Garrett",75.0255905511811,0.2751130434782609,115,400.0
596142,"Sánchez, Gary",83.03206349206349,0.37533714285714287,175,151.0
596146,"Kepler, Max",82.56195652173912,0.35086062717770033,287,196.0
600869,"Candelario, Jeimer",82.11390728476822,0.34544267515923566,314,233.0
602104,"Urías, Ramón",83.50177664974619,0.37137104072398186,221,109.0
605113,"Ahmed, Nick",78.61827242524916,0.3095031847133758,157,390.0
605131,"Barnes, Austin",79.72935323383085,0.3062980769230769,104,369.0
605137,"Bell, Josh",82.39500674763832,0.3538810679611651,412,210.0
605141,"Betts, Mookie",83.82041666666666,0.3646650831353919,421,87.0
605170,"Caratini, Victor",83.86143250688706,0.36933333333333335,198,83.0
605361,"Martini, Nick",82.30096153846154,0.31186915887850464,107,221.0
606115,"Arcia, Orlando",82.5141414141414,0.2988808411214953,428,200.0
606192,"Hernández, Teoscar",83.03399765533412,0.45945734597156396,422,149.0
606466,"Marte, Ketel",86.33478260869565,0.4520554156171285,397,7.0
607043,"Nimmo, Brandon",84.2125,0.3878871681415929,452,67.0
607208,"Turner, Trea",83.02187902187902,0.3667971014492754,414,152.0
607680,"Pillar, Kevin",80.15560538116593,0.3138472222222222,216,360.0
607732,"Stallings, Jacob",82.19583333333333,0.36136931818181817,176,229.0
608070,"Ramírez, José",84.72602979842243,0.35286347517730493,564,34.0
608324,"Bregman, Alex",83.74493243243244,0.34315461847389556,498,90.0
608336,"Gallo, Joey",83.18383458646618,0.4130826446280991,121,132.0
608348,"Kelly, Carson",82.76897435897436,0.34224336283185836,226,180.0
608369,"Seager, Corey",84.57555865921788,0.45811999999999997,375,43.0
608385,"Winker, Jesse",82.20446685878963,0.3664561403508772,342,228.0
608671,"Jankowski, Travis",78.1736059479554,0.25792413793103447,145,394.0
608701,"Refsnyder, Rob",82.65984042553191,0.40204123711340206,194,188.0
608841,"Meneses, Joey",83.6546539379475,0.3024977168949772,219,95.0
609280,"Andujar, Miguel",81.70191082802548,0.3082873563218391,261,275.0
