"team","conference","overall_eff","overall_rnk","offense_eff","offense_rnk","defense_eff","defense_rnk","special_teams_eff","special_teams_rnk","OVERALL_RNK_NORM","OFFENSE_RNK_NORM","DEFENSE_RNK_NORM","SPECIAL_TEAMS_RNK_NORM"
"Tennessee Volunteers","SEC","96.7",1,"78.5",15,"98.9",1,"61.9",37,-1.71274609058453,-1.35216796625095,-1.71274609058453,-0.785545199441027
"Ohio State Buckeyes","Big Ten","93.4",2,"93.4",1,"82.3",10,"45.7",87,-1.68699051027499,-1.71274609058453,-1.48094586779866,0.502233816036066
"Texas Longhorns","SEC","93.3",3,"87.5",8,"91.1",2,"34.6",115,-1.66123492996545,-1.53245702841774,-1.68699051027499,1.22339006470324
"Alabama Crimson Tide","SEC","90.8",4,"82.1",13,"88.3",5,"54.3",60,-1.63547934965591,-1.40367912687003,-1.60972376934637,-0.193166852321564
"UNLV Rebels","Mountain West","88.9",5,"68.1",32,"89.3",3,"79.7",2,-1.60972376934637,-0.914323100988736,-1.66123492996545,-1.68699051027499
"Clemson Tigers","ACC","88.2",6,"90.8",3,"78.5",20,"34.2",116,-1.58396818903682,-1.66123492996545,-1.22339006470324,1.24914564501278
"Georgia Bulldogs","SEC","87.0",7,"81.5",14,"78.7",19,"67.2",23,-1.55821260872728,-1.37792354656049,-1.24914564501278,-1.14612332377461
"Ole Miss Rebels","SEC","85.7",8,"84.5",11,"79.4",16,"35.0",113,-1.53245702841774,-1.45519028748912,-1.32641238594141,1.17187890408415
"Indiana Hoosiers","Big Ten","85.3",9,"91.0",2,"58.2",61,"55.8",56,-1.5067014481082,-1.68699051027499,-0.167411272012022,-0.296189173559731
"BYU Cougars","Big 12","83.6",10,"63.1",45,"86.7",6,"63.8",33,-1.48094586779866,-0.579500556964692,-1.58396818903682,-0.888567520679194
"Miami Hurricanes","ACC","83.2",11,"90.6",4,"64.5",45,"30.2",124,-1.45519028748912,-1.63547934965591,-0.579500556964692,1.45519028748912
"Oregon Ducks","Big Ten","81.5",12,"74.7",20,"72.2",28,"71.7",16,-1.42943470717957,-1.22339006470324,-1.0173454222269,-1.32641238594141
"Iowa State Cyclones","Big 12","81.2",13,"69.2",28,"82.7",8,"49.1",75,-1.40367912687003,-1.0173454222269,-1.53245702841774,0.193166852321564
"Notre Dame Fighting Irish","FBS Indep.","81.1",14,"63.3",44,"88.6",4,"33.1",120,-1.37792354656049,-0.605256137274234,-1.63547934965591,1.35216796625095
"Louisville Cardinals","ACC","80.5",15,"73.6",21,"70.8",32,"74.2",13,-1.35216796625095,-1.1976344843937,-0.914323100988736,-1.40367912687003
"Army Black Knights","American","80.5",16,"86.5",9,"54.8",68,"53.5",61,-1.32641238594141,-1.5067014481082,0.0128777901547709,-0.167411272012022
"Boise State Broncos","Mountain West","79.6",17,"87.9",7,"67.8",36,"26.5",128,-1.30065680563186,-1.55821260872728,-0.811300779750569,1.55821260872728
"Penn State Nittany Lions","Big Ten","77.7",18,"75.6",18,"75.7",23,"28.8",125,-1.27490122532232,-1.27490122532232,-1.14612332377461,1.48094586779866
"USC Trojans","Big Ten","77.5",19,"67.5",34,"81.8",14,"42.9",95,-1.24914564501278,-0.862811940369652,-1.37792354656049,0.708278458512401
"Navy Midshipmen","American","77.1",20,"90.2",5,"49.1",77,"59.1",44,-1.22339006470324,-1.60972376934637,0.244678012940648,-0.605256137274234
"Kansas State Wildcats","Big 12","75.6",21,"70.3",27,"71.9",31,"52.6",66,-1.1976344843937,-1.04310100253645,-0.940078681298278,-0.0386333704643128
"Texas A&M Aggies","SEC","75.1",22,"62.2",48,"78.8",18,"52.2",67,-1.17187890408415,-0.502233816036066,-1.27490122532232,-0.0128777901547709
"LSU Tigers","SEC","74.9",23,"88.3",6,"49.3",76,"33.3",118,-1.14612332377461,-1.58396818903682,0.218922432631106,1.30065680563186
"Kentucky Wildcats","SEC","73.3",24,"55.2",60,"82.3",9,"56.1",54,-1.12036774346507,-0.193166852321564,-1.5067014481082,-0.347700334178815
"Illinois Fighting Illini","Big Ten","73.0",25,"59.9",55,"70.1",33,"75.3",8,-1.09461216315553,-0.321944753869273,-0.888567520679194,-1.53245702841774
"SMU Mustangs","ACC","72.7",26,"48.9",70,"81.9",13,"63.0",35,-1.06885658284599,0.0643889507738547,-1.40367912687003,-0.837056360060111
"Arkansas Razorbacks","SEC","72.4",27,"66.8",38,"72.2",29,"44.5",89,-1.04310100253645,-0.759789619131485,-0.991589841917362,0.55374497665515
"Nebraska Cornhuskers","Big Ten","71.9",28,"72.2",23,"69.9",35,"25.7",129,-1.0173454222269,-1.14612332377461,-0.837056360060111,1.58396818903682
"TCU Horned Frogs","Big 12","70.9",29,"77.3",16,"56.0",65,"47.3",82,-0.991589841917362,-1.32641238594141,-0.0643889507738547,0.373455914488357
"Maryland Terrapins","Big Ten","70.4",30,"68.4",30,"62.9",49,"56.0",55,-0.96583426160782,-0.96583426160782,-0.476478235726524,-0.321944753869273
"Arizona State Sun Devils","Big 12","70.3",31,"57.7",58,"76.1",21,"44.6",88,-0.940078681298278,-0.244678012940648,-1.1976344843937,0.527989396345608
"Missouri Tigers","SEC","70.1",32,"62.3",47,"72.1",30,"50.7",70,-0.914323100988736,-0.527989396345608,-0.96583426160782,0.0643889507738547
"Iowa Hawkeyes","Big Ten","69.3",33,"48.8",71,"81.2",15,"54.7",58,-0.888567520679194,0.0901445310833965,-1.35216796625095,-0.244678012940648
"Cincinnati Bearcats","Big 12","69.0",34,"82.7",12,"43.9",91,"48.2",77,-0.862811940369652,-1.42943470717957,0.605256137274234,0.244678012940648
"Utah Utes","Big 12","68.9",35,"46.1",81,"82.2",11,"56.2",53,-0.837056360060111,0.347700334178815,-1.45519028748912,-0.373455914488357
"Tulane Green Wave","American","68.2",36,"67.3",36,"60.0",58,"57.2",49,-0.811300779750569,-0.811300779750569,-0.244678012940648,-0.476478235726524
"Vanderbilt Commodores","SEC","68.0",37,"71.1",25,"52.5",70,"67.2",24,-0.785545199441027,-1.09461216315553,0.0643889507738547,-1.12036774346507
"South Carolina Gamecocks","SEC","68.0",38,"37.9",92,"84.4",7,"59.6",43,-0.759789619131485,0.631011717583776,-1.55821260872728,-0.631011717583776
"Colorado Buffaloes","Big 12","67.9",39,"67.4",35,"65.9",42,"37.0",105,-0.734034038821943,-0.837056360060111,-0.656767297893317,0.96583426160782
"Michigan Wolverines","Big Ten","67.4",40,"41.6",85,"75.8",22,"70.0",20,-0.708278458512401,0.450722655416983,-1.17187890408415,-1.22339006470324
"Virginia Tech Hokies","ACC","67.2",41,"57.6",59,"67.2",37,"60.2",41,-0.682522878202859,-0.218922432631106,-0.785545199441027,-0.682522878202859
"Washington Huskies","Big Ten","66.6",42,"66.5",39,"66.4",39,"32.3",121,-0.656767297893317,-0.734034038821943,-0.734034038821943,1.37792354656049
"Oklahoma Sooners","SEC","66.5",43,"30.3",102,"82.1",12,"75.2",9,-0.631011717583776,0.888567520679194,-1.42943470717957,-1.5067014481082
"James Madison Dukes","Sun Belt","66.4",44,"53.6",64,"63.7",47,"77.6",5,-0.605256137274234,-0.0901445310833965,-0.527989396345608,-1.60972376934637
"Georgia Tech Yellow Jackets","ACC","66.1",45,"76.9",17,"50.4",74,"38.2",102,-0.579500556964692,-1.30065680563186,0.167411272012022,0.888567520679194
"Boston College Eagles","ACC","65.7",46,"63.5",42,"66.4",38,"35.4",112,-0.55374497665515,-0.656767297893317,-0.759789619131485,1.14612332377461
"Rutgers Scarlet Knights","Big Ten","65.6",47,"65.5",41,"54.9",67,"63.7",34,-0.527989396345608,-0.682522878202859,-0.0128777901547709,-0.862811940369652
"UConn Huskies","FBS Indep.","65.6",48,"71.0",26,"58.6",60,"36.4",108,-0.502233816036066,-1.06885658284599,-0.193166852321564,1.04310100253645
"Washington State Cougars","Pac-12","65.5",49,"72.5",22,"54.4",69,"42.4",97,-0.476478235726524,-1.17187890408415,0.0386333704643128,0.759789619131485
"Arizona Wildcats","Big 12","64.8",50,"61.2",52,"63.9",46,"47.4",80,-0.450722655416983,-0.399211494797899,-0.55374497665515,0.321944753869273
"Pittsburgh Panthers","ACC","64.4",51,"69.0",29,"48.9",78,"65.3",30,-0.424967075107441,-0.991589841917362,0.27043359325019,-0.96583426160782
"Louisiana Ragin' Cajuns","Sun Belt","64.2",52,"84.6",10,"27.9",116,"67.1",25,-0.399211494797899,-1.48094586779866,1.24914564501278,-1.09461216315553
"Oklahoma State Cowboys","Big 12","63.6",53,"61.5",50,"57.8",62,"58.6",48,-0.373455914488357,-0.450722655416983,-0.14165569170248,-0.502233816036066
"Virginia Cavaliers","ACC","62.9",54,"54.3",62,"65.8",43,"52.6",65,-0.347700334178815,-0.14165569170248,-0.631011717583776,-0.0643889507738547
"California Golden Bears","ACC","62.4",55,"43.6",84,"75.3",24,"50.4",71,-0.321944753869273,0.424967075107441,-1.12036774346507,0.0901445310833965
"UCF Knights","Big 12","61.8",56,"71.1",24,"46.5",86,"43.5",93,-0.296189173559731,-1.12036774346507,0.476478235726524,0.656767297893317
"Michigan State Spartans","Big Ten","61.5",57,"48.7",72,"66.3",40,"60.8",39,-0.27043359325019,0.115900111392938,-0.708278458512401,-0.734034038821943
"Toledo Rockets","MAC","61.2",58,"54.8",61,"57.6",63,"66.6",27,-0.244678012940648,-0.167411272012022,-0.115900111392938,-1.04310100253645
"Baylor Bears","Big 12","59.9",59,"41.0",86,"63.1",48,"78.7",4,-0.218922432631106,0.476478235726524,-0.502233816036066,-1.63547934965591
"Duke Blue Devils","ACC","59.5",60,"32.2",98,"78.9",17,"53.2",62,-0.193166852321564,0.785545199441027,-1.30065680563186,-0.14165569170248
"Northern Illinois Huskies","MAC","57.9",61,"47.2",75,"73.5",27,"33.7",117,-0.167411272012022,0.193166852321564,-1.04310100253645,1.27490122532232
"Memphis Tigers","American","57.7",62,"61.9",49,"48.5",79,"48.0",78,-0.14165569170248,-0.476478235726524,0.296189173559731,0.27043359325019
"Bowling Green Falcons","MAC","56.6",63,"67.2",37,"43.8",93,"47.0",84,-0.115900111392938,-0.785545199441027,0.656767297893317,0.424967075107441
"San José State Spartans","Mountain West","56.2",64,"53.3",65,"59.0",59,"41.1",98,-0.0901445310833965,-0.0643889507738547,-0.218922432631106,0.785545199441027
"West Virginia Mountaineers","Big 12","56.1",65,"75.0",19,"33.3",108,"47.1",83,-0.0643889507738547,-1.24914564501278,1.04310100253645,0.399211494797899
"Sam Houston Bearkats","CUSA","55.7",66,"49.6",69,"60.3",57,"47.7",79,-0.0386333704643128,0.0386333704643128,-0.27043359325019,0.296189173559731
"Coastal Carolina Chanticleers","Sun Belt","55.7",67,"54.0",63,"62.2",52,"30.8",123,-0.0128777901547709,-0.115900111392938,-0.399211494797899,1.42943470717957
"Western Kentucky Hilltoppers","CUSA","55.4",68,"47.0",77,"61.4",55,"52.0",68,0.0128777901547709,0.244678012940648,-0.321944753869273,0.0128777901547709
"North Texas Mean Green","American","55.1",69,"58.7",56,"47.2",83,"56.8",52,0.0386333704643128,-0.296189173559731,0.399211494797899,-0.399211494797899
"Kansas Jayhawks","Big 12","54.6",70,"47.3",74,"62.1",54,"44.3",90,0.0643889507738547,0.167411272012022,-0.347700334178815,0.579500556964692
"Georgia Southern Eagles","Sun Belt","54.4",71,"62.3",46,"36.1",102,"74.5",12,0.0901445310833965,-0.55374497665515,0.888567520679194,-1.42943470717957
"South Florida Bulls","American","54.4",72,"52.8",66,"47.0",84,"70.1",19,0.115900111392938,-0.0386333704643128,0.424967075107441,-1.24914564501278
"Auburn Tigers","SEC","54.0",73,"46.1",82,"57.3",64,"57.1",50,0.14165569170248,0.373455914488357,-0.0901445310833965,-0.450722655416983
"Fresno State Bulldogs","Mountain West","53.0",74,"39.6",89,"74.5",25,"22.6",132,0.167411272012022,0.55374497665515,-1.09461216315553,1.66123492996545
"Minnesota Golden Gophers","Big Ten","52.0",75,"40.3",87,"73.9",26,"22.9",131,0.193166852321564,0.502233816036066,-1.06885658284599,1.63547934965591
"Florida Gators","SEC","50.7",76,"66.0",40,"34.6",106,"67.9",22,0.218922432631106,-0.708278458512401,0.991589841917362,-1.17187890408415
"Texas Tech Red Raiders","Big 12","49.9",77,"60.1",54,"31.2",110,"74.9",10,0.244678012940648,-0.347700334178815,1.09461216315553,-1.48094586779866
"Stanford Cardinal","ACC","49.5",78,"27.4",107,"66.2",41,"75.9",7,0.27043359325019,1.0173454222269,-0.682522878202859,-1.55821260872728
"Oregon State Beavers","Pac-12","49.1",79,"58.3",57,"44.9",88,"26.9",127,0.296189173559731,-0.27043359325019,0.527989396345608,1.53245702841774
"Syracuse Orange","ACC","48.2",80,"63.4",43,"41.8",95,"24.1",130,0.321944753869273,-0.631011717583776,0.708278458512401,1.60972376934637
"South Alabama Jaguars","Sun Belt","47.8",81,"67.5",33,"33.7",107,"36.4",109,0.347700334178815,-0.888567520679194,1.0173454222269,1.06885658284599
"East Carolina Pirates","American","47.5",82,"25.2",110,"62.6",50,"73.9",14,0.373455914488357,1.09461216315553,-0.450722655416983,-1.37792354656049
"Texas State Bobcats","Sun Belt","46.5",83,"60.5",53,"37.4",99,"38.8",101,0.399211494797899,-0.373455914488357,0.811300779750569,0.862811940369652
"North Carolina Tar Heels","ACC","46.3",84,"51.3",67,"39.6",98,"57.0",51,0.424967075107441,-0.0128777901547709,0.785545199441027,-0.424967075107441
"Wisconsin Badgers","Big Ten","45.5",85,"39.5",90,"51.0",72,"59.1",45,0.450722655416983,0.579500556964692,0.115900111392938,-0.579500556964692
"Marshall Thundering Herd","Sun Belt","45.4",86,"47.9",73,"51.1",71,"31.9",122,0.476478235726524,0.14165569170248,0.0901445310833965,1.40367912687003
"Eastern Michigan Eagles","MAC","44.5",87,"37.0",93,"47.8",81,"72.5",15,0.502233816036066,0.656767297893317,0.347700334178815,-1.35216796625095
"Buffalo Bulls","MAC","44.2",88,"12.0",131,"69.9",34,"67.0",26,0.527989396345608,1.63547934965591,-0.862811940369652,-1.06885658284599
"UL Monroe Warhawks","Sun Belt","44.0",89,"21.8",116,"65.6",44,"64.2",32,0.55374497665515,1.24914564501278,-0.605256137274234,-0.914323100988736
"Old Dominion Monarchs","Sun Belt","43.7",90,"30.1",103,"62.1",53,"36.7",106,0.579500556964692,0.914323100988736,-0.373455914488357,0.991589841917362
"Western Michigan Broncos","MAC","41.8",91,"61.3",51,"30.1",112,"44.3",91,0.605256137274234,-0.424967075107441,1.14612332377461,0.605256137274234
"Nevada Wolf Pack","Mountain West","41.7",92,"47.1",76,"44.9",89,"33.3",119,0.631011717583776,0.218922432631106,0.55374497665515,1.32641238594141
"UCLA Bruins","Big Ten","40.4",93,"30.4",100,"50.3",75,"59.0",47,0.656767297893317,0.837056360060111,0.193166852321564,-0.527989396345608
