"team","conference","w_l","fpi","rk","trend","proj_w_l","win_out_percent","x6wins_percent","win_div_percent","win_conf_percent","playoff_percent","make_nc_percent","win_nc_percent"
"Texas Longhorns","SEC","5-0","27.9","1","--","11.4-1.2","21.7","100.0","0.0","38.9","91.5","35.1","21.0"
"Alabama Crimson Tide","SEC","4-0","27.9","2","--","11.1-1.5","14.8","100.0","0.0","31.0","91.4","31.5","18.9"
"Ohio State Buckeyes","Big Ten","4-0","26.9","3","--","11.3-1.4","21.8","100.0","0.0","51.9","84.5","30.7","18.1"
"Georgia Bulldogs","SEC","3-1","25.2","4","--","9.2-2.9","6.0","99.9","0.0","5.7","72.1","17.3","9.3"
"Tennessee Volunteers","SEC","4-0","23.6","5","--","10.4-1.9","5.4","100.0","0.0","15.2","78.8","17.7","9.0"
"Ole Miss Rebels","SEC","4-1","21.8","6","--","9.3-2.8","8.5","99.9","0.0","4.4","40.5","7.9","3.7"
"Notre Dame Fighting Irish","FBS Indep.","4-1","19.3","7","2","10.0-2.0","30.5","100.0","0.0","0.0","46.1","6.0","2.4"
"Penn State Nittany Lions","Big Ten","4-0","18.8","8","--","10.2-2.1","4.7","100.0","0.0","15.9","60.5","9.1","3.5"
"Oregon Ducks","Big Ten","4-0","18.4","9","1","10.3-2.1","5.8","99.9","0.0","15.7","59.5","7.4","2.5"
"Miami Hurricanes","ACC","5-0","17.9","10","3","11.0-1.6","13.2","100.0","0.0","36.0","61.9","9.4","3.3"
"USC Trojans","Big Ten","3-1","15.7","11","1","8.4-3.7","2.4","97.2","0.0","4.1","20.8","1.9","0.6"
"Louisville Cardinals","ACC","3-1","15.3","12","1","8.4-3.9","2.5","96.6","0.0","18.0","22.4","2.8","1.0"
"Clemson Tigers","ACC","3-1","15.1","13","1","9.5-3.1","7.6","99.6","0.0","27.9","32.6","4.0","1.4"
"Missouri Tigers","SEC","4-0","14.1","14","1","9.0-3.0","0.4","99.5","0.0","1.6","32.0","1.7","0.5"
"LSU Tigers","SEC","4-1","13.9","15","4","7.7-4.3","0.2","95.4","0.0","1.7","14.4","1.1","0.4"
"Indiana Hoosiers","Big Ten","5-0","13.4","16","1","9.9-2.3","1.8","100.0","0.0","7.5","38.6","2.9","0.9"
"Oklahoma Sooners","SEC","4-1","12.2","17","--","7.0-5.0","0.1","91.0","0.0","0.1","9.5","0.4","0.1"
"Texas A&M Aggies","SEC","4-1","11.9","18","--","8.0-4.1","0.2","97.9","0.0","1.3","12.1","0.7","0.2"
"SMU Mustangs","ACC","4-1","11.3","19","7","8.9-3.4","2.8","99.0","0.0","11.0","13.1","1.1","0.4"
"Kansas State Wildcats","Big 12","4-1","11.2","20","12","8.9-3.4","4.6","99.0","0.0","13.8","17.6","1.3","0.4"
"Boise State Broncos","Mountain West","3-1","10.9","21","6","10.3-2.5","19.5","100.0","0.0","53.6","37.7","1.8","0.5"
"Iowa State Cyclones","Big 12","4-0","10.6","22","3","9.3-3.0","2.5","99.0","0.0","20.4","25.5","2.0","0.6"
"Kentucky Wildcats","SEC","3-2","9.5","23","15","6.5-5.5","0.2","82.5","0.0","0.0","2.8","0.1","0.0"
"Iowa Hawkeyes","Big Ten","3-1","9.3","24","--","7.8-4.3","0.3","94.7","0.0","1.9","4.7","0.2","0.0"
"South Carolina Gamecocks","SEC","3-1","9.1","25","4","6.5-5.5","0.0","75.7","0.0","0.0","3.8","0.1","0.0"
"Michigan Wolverines","Big Ten","4-1","9.0","26","6","7.4-4.6","0.1","94.3","0.0","1.5","8.9","0.3","0.1"
"Arkansas Razorbacks","SEC","3-2","8.5","27","4","5.9-6.1","0.0","62.6","0.0","0.1","0.8","0.1","0.0"
"Colorado Buffaloes","Big 12","4-1","8.3","28","24","8.1-4.2","1.5","95.1","0.0","15.5","13.1","0.7","0.2"
"Nebraska Cornhuskers","Big Ten","4-1","8.1","29","7","7.3-4.8","0.1","93.1","0.0","0.1","2.6","0.1","0.0"
"Maryland Terrapins","Big Ten","3-2","8.0","30","2","6.3-5.7","0.3","75.1","0.0","0.1","0.6","0.0","0.0"
"UCF Knights","Big 12","3-1","7.9","31","15","7.5-4.7","0.7","88.5","0.0","5.9","5.1","0.2","0.0"
"Oklahoma State Cowboys","Big 12","3-2","7.8","32","11","7.0-5.1","1.8","84.8","0.0","1.7","1.5","0.1","0.0"
"Washington Huskies","Big Ten","3-2","7.7","33","3","5.7-6.3","0.0","55.9","0.0","0.1","0.3","0.0","0.0"
"BYU Cougars","Big 12","5-0","7.4","34","3","9.3-3.1","1.3","99.8","0.0","15.6","24.2","1.0","0.2"
"UNLV Rebels","Mountain West","4-0","7.3","35","16","10.4-2.3","7.4","100.0","0.0","35.4","31.3","1.2","0.2"
"Utah Utes","Big 12","4-1","7.1","36","14","7.8-4.3","0.9","94.2","0.0","4.9","5.1","0.2","0.0"
"TCU Horned Frogs","Big 12","3-2","6.8","37","7","7.2-4.9","1.6","87.8","0.0","5.0","3.2","0.1","0.0"
"Auburn Tigers","SEC","2-3","6.7","38","4","4.8-7.2","0.0","27.2","0.0","0.0","0.0","0.0","0.0"
"Pittsburgh Panthers","ACC","4-0","6.7","39","6","8.1-4.0","0.2","96.2","0.0","1.8","8.7","0.1","0.0"
"Tulane Green Wave","American","3-2","6.5","40","15","9.3-3.4","20.0","99.6","0.0","52.0","6.4","0.1","0.0"
"James Madison Dukes","Sun Belt","4-0","6.2","41","18","10.9-1.7","15.8","99.9","60.6","44.1","29.8","0.9","0.2"
"Virginia Tech Hokies","ACC","2-3","6.1","42","7","6.0-6.0","1.3","64.2","0.0","1.4","0.7","0.0","0.0"
"Illinois Fighting Illini","Big Ten","4-1","5.6","43","3","7.9-4.1","0.6","97.0","0.0","0.4","6.9","0.1","0.0"
"Arizona Wildcats","Big 12","3-1","5.5","44","18","7.2-5.0","0.4","85.2","0.0","6.3","4.6","0.2","0.0"
"Rutgers Scarlet Knights","Big Ten","4-0","5.4","45","1","8.2-3.9","0.2","96.6","0.0","0.9","7.8","0.2","0.0"
"Florida Gators","SEC","2-2","5.4","46","7","4.2-7.8","0.0","14.4","0.0","0.0","0.1","0.0","0.0"
"Boston College Eagles","ACC","4-1","5.2","47","16","7.4-4.6","0.2","92.1","0.0","1.7","2.7","0.0","0.0"
"Kansas Jayhawks","Big 12","1-4","5.0","48","13","4.3-7.7","0.4","18.9","0.0","0.5","0.0","0.0","0.0"
"Georgia Tech Yellow Jackets","ACC","3-2","4.8","49","8","5.9-6.1","0.1","62.4","0.0","0.4","0.4","0.0","0.0"
"California Golden Bears","ACC","3-1","4.4","50","5","7.4-4.7","0.2","90.3","0.0","0.6","1.5","0.1","0.0"
"West Virginia Mountaineers","Big 12","2-2","4.4","51","8","5.4-6.7","0.1","46.2","0.0","2.9","1.2","0.0","0.0"
"Texas Tech Red Raiders","Big 12","4-1","4.4","52","4","7.1-5.1","0.2","85.9","0.0","5.3","3.6","0.1","0.0"
"Cincinnati Bearcats","Big 12","3-2","4.4","53","6","6.0-6.1","0.2","61.2","0.0","1.5","0.7","0.0","0.0"
"Arizona State Sun Devils","Big 12","3-1","4.0","54","4","6.3-5.7","0.0","68.4","0.0","0.7","0.8","0.0","0.0"
"Washington State Cougars","Pac-12","4-1","3.9","55","13","9.6-2.4","19.3","100.0","0.0","0.0","12.4","0.1","0.0"
"Minnesota Golden Gophers","Big Ten","2-3","3.6","56","1","4.9-7.1","0.2","31.6","0.0","0.0","0.0","0.0","0.0"
"Vanderbilt Commodores","SEC","2-2","3.3","57","3","4.4-7.6","0.0","16.4","0.0","0.0","0.0","0.0","0.0"
"Baylor Bears","Big 12","2-3","2.6","58","2","5.1-6.9","0.3","37.5","0.0","0.2","0.1","0.0","0.0"
"Duke Blue Devils","ACC","5-0","1.9","59","6","8.0-4.0","0.0","97.5","0.0","0.7","3.2","0.1","0.0"
"Oregon State Beavers","Pac-12","3-1","1.2","60","3","7.4-4.6","0.6","90.6","0.0","0.0","0.7","0.0","0.0"
"North Carolina Tar Heels","ACC","3-2","0.7","61","8","6.5-5.6","0.5","74.7","0.0","0.3","0.2","0.0","0.0"
"Wisconsin Badgers","Big Ten","2-2","0.7","62","4","4.9-7.1","0.0","32.3","0.0","0.0","0.1","0.0","0.0"
"Florida State Seminoles","ACC","1-4","0.7","63","10","3.7-8.3","0.0","5.6","0.0","0.0","0.0","0.0","0.0"
"Memphis Tigers","American","4-1","0.6","64","--","9.0-3.2","4.0","99.7","0.0","6.0","3.2","0.0","0.0"
"Michigan State Spartans","Big Ten","3-2","0.5","65","5","5.4-6.6","0.0","45.3","0.0","0.0","0.1","0.0","0.0"
"Virginia Cavaliers","ACC","3-1","0.4","66","1","5.2-6.8","0.0","39.4","0.0","0.3","0.1","0.0","0.0"
"UConn Huskies","FBS Indep.","3-2","0.2","67","16","8.5-3.5","19.1","99.1","0.0","0.0","0.0","0.0","0.0"
"South Alabama Jaguars","Sun Belt","2-3","-0.1","68","7","7.2-5.3","5.2","87.6","46.3","19.6","0.0","0.0","0.0"
"Syracuse Orange","ACC","3-1","-0.2","69","1","5.5-6.5","0.0","48.1","0.0","0.1","0.1","0.0","0.0"
"Mississippi State Bulldogs","SEC","1-4","-0.3","70","2","2.8-9.2","0.0","0.5","0.0","0.0","0.0","0.0","0.0"
"Army Black Knights","American","4-0","-0.5","71","4","9.3-3.3","0.8","99.5","0.0","22.5","9.2","0.1","0.0"
"Stanford Cardinal","ACC","2-2","-1.0","72","2","4.8-7.2","0.0","28.9","0.0","0.0","0.1","0.0","0.0"
"San José State Spartans","Mountain West","3-1","-1.5","73","2","7.2-5.0","0.2","87.5","0.0","5.1","0.9","0.0","0.0"
"Toledo Rockets","MAC","3-1","-1.7","74","2","9.0-3.5","5.5","98.1","0.0","31.4","2.5","0.0","0.0"
"Fresno State Bulldogs","Mountain West","3-2","-2.1","75","17","7.5-4.7","2.1","92.5","0.0","4.2","0.5","0.0","0.0"
