"team","conference.x","overall_eff","overall_rnk","offense_eff","offense_rnk","defense_eff","defense_rnk","special_teams_eff","special_teams_rnk","OVERALL_RNK_NORM","OFFENSE_RNK_NORM","DEFENSE_RNK_NORM","SPECIAL_TEAMS_RNK_NORM","conference.y","w_l","fpi.x","rk","trend","proj_w_l","win_out_percent","x6wins_percent","win_div_percent","win_conf_percent","playoff_percent","make_nc_percent","win_nc_percent","conf","sor","fpi.y","ap_cfp","sos","rem_sos","gc","avgwp","RK_NORM","COMPOSITE_SCORE"
"Tennessee Volunteers","SEC","96.7",1,"78.5",15,"98.9",1,"61.9",37,-1.71274609058453,-1.35216796625095,-1.71274609058453,-0.785545199441027,"SEC","4-0","23.6","5","--","10.4-1.9","5.4","100.0","0.0","15.2","78.8","17.7","9.0","SEC",4,"5","4","72","9","1","2",-1.63650358330219,-1.39080133671526
"Ohio State Buckeyes","Big Ten","93.4",2,"93.4",1,"82.3",10,"45.7",87,-1.68699051027499,-1.71274609058453,-1.48094586779866,0.502233816036066,"Big Ten","4-0","26.9","3","--","11.3-1.4","21.8","100.0","0.0","51.9","84.5","30.7","18.1","Big Ten",21,"3","3","123","19","4","3",-1.19822999257066,-1.09461216315553
"Texas Longhorns","SEC","93.3",3,"87.5",8,"91.1",2,"34.6",115,-1.66123492996545,-1.53245702841774,-1.68699051027499,1.22339006470324,"SEC","5-0","27.9","1","--","11.4-1.2","21.7","100.0","0.0","38.9","91.5","35.1","21.0","SEC",5,"1","2","82","15","3","1",-1.61072278384739,-0.914323100988736
"Alabama Crimson Tide","SEC","90.8",4,"82.1",13,"88.3",5,"54.3",60,-1.63547934965591,-1.40367912687003,-1.60972376934637,-0.193166852321564,"SEC","4-0","27.9","2","--","11.1-1.5","14.8","100.0","0.0","31.0","91.4","31.5","18.9","SEC",1,"2","1","26","11","2","8",-1.71384598166658,-1.21051227454847
"UNLV Rebels","Mountain West","88.9",5,"68.1",32,"89.3",3,"79.7",2,-1.60972376934637,-0.914323100988736,-1.66123492996545,-1.68699051027499,"Mountain West","4-0","7.3","35","16","10.4-2.3","7.4","100.0","0.0","35.4","31.3","1.2","0.2","Mountain West",10,"35","25","103","75","18","18",-1.48181878657342,-1.46806807764389
"Clemson Tigers","ACC","88.2",6,"90.8",3,"78.5",20,"34.2",116,-1.58396818903682,-1.66123492996545,-1.22339006470324,1.24914564501278,"ACC","3-1","15.1","13","1","9.5-3.1","7.6","99.6","0.0","27.9","32.6","4.0","1.4","ACC",34,"13","15","23","52","8","15",-0.863079599658315,-0.804861884673183
"Georgia Bulldogs","SEC","87.0",7,"81.5",14,"78.7",19,"67.2",23,-1.55821260872728,-1.37792354656049,-1.24914564501278,-1.14612332377461,"SEC","3-1","25.2","4","--","9.2-2.9","6.0","99.9","0.0","5.7","72.1","17.3","9.3","SEC",3,"4","5","2","4","16","77",-1.66228438275699,-1.33285128101879
"Ole Miss Rebels","SEC","85.7",8,"84.5",11,"79.4",16,"35.0",113,-1.53245702841774,-1.45519028748912,-1.32641238594141,1.17187890408415,"SEC","4-1","21.8","6","--","9.3-2.8","8.5","99.9","0.0","4.4","40.5","7.9","3.7","SEC",52,"6","12","107","23","6","7",-0.399025209471989,-0.785545199441027
"Indiana Hoosiers","Big Ten","85.3",9,"91.0",2,"58.2",61,"55.8",56,-1.5067014481082,-1.68699051027499,-0.167411272012022,-0.296189173559731,"Big Ten","5-0","13.4","16","1","9.9-2.3","1.8","100.0","0.0","7.5","38.6","2.9","0.9","Big Ten",14,"16","23","108","31","5","4",-1.37869558875423,-0.914323100988736
"BYU Cougars","Big 12","83.6",10,"63.1",45,"86.7",6,"63.8",33,-1.48094586779866,-0.579500556964692,-1.58396818903682,-0.888567520679194,"Big 12","5-0","7.4","34","3","9.3-3.1","1.3","99.8","0.0","15.6","24.2","1.0","0.2","Big 12",2,"34","17","40","64","7","21",-1.68806518221178,-1.13324553361984
"Miami Hurricanes","ACC","83.2",11,"90.6",4,"64.5",45,"30.2",124,-1.45519028748912,-1.63547934965591,-0.579500556964692,1.45519028748912,"ACC","5-0","17.9","10","3","11.0-1.6","13.2","100.0","0.0","36.0","61.9","9.4","3.3","ACC",8,"10","8","94","48","20","14",-1.53338038548301,-0.55374497665515
"Oregon Ducks","Big Ten","81.5",12,"74.7",20,"72.2",28,"71.7",16,-1.42943470717957,-1.22339006470324,-1.0173454222269,-1.32641238594141,"Big Ten","4-0","18.4","9","1","10.3-2.1","5.8","99.9","0.0","15.7","59.5","7.4","2.5","Big Ten",6,"9","6","85","32","12","19",-1.5849419843926,-1.24914564501278
"Iowa State Cyclones","Big 12","81.2",13,"69.2",28,"82.7",8,"49.1",75,-1.40367912687003,-1.0173454222269,-1.53245702841774,0.193166852321564,"Big 12","4-0","10.6","22","3","9.3-3.0","2.5","99.0","0.0","20.4","25.5","2.0","0.6","Big 12",7,"22","16","92","54","42","40",-1.5591611849378,-0.940078681298278
"Notre Dame Fighting Irish","FBS Indep.","81.1",14,"63.3",44,"88.6",4,"33.1",120,-1.37792354656049,-0.605256137274234,-1.63547934965591,1.35216796625095,"FBS Indep.","4-1","19.3","7","2","10.0-2.0","30.5","100.0","0.0","0.0","46.1","6.0","2.4","FBS Indep.",22,"7","14","35","66","19","30",-1.17244919311586,-0.566622766809921
"Louisville Cardinals","ACC","80.5",15,"73.6",21,"70.8",32,"74.2",13,-1.35216796625095,-1.1976344843937,-0.914323100988736,-1.40367912687003,"ACC","3-1","15.3","12","1","8.4-3.9","2.5","96.6","0.0","18.0","22.4","2.8","1.0","ACC",36,"12","22","34","30","27","31",-0.811518000748723,-1.21695116962585
"Army Black Knights","American","80.5",16,"86.5",9,"54.8",68,"53.5",61,-1.32641238594141,-1.5067014481082,0.0128777901547709,-0.167411272012022,"American","4-0","-0.5","71","4","9.3-3.3","0.8","99.5","0.0","22.5","9.2","0.1","0.0","American",37,"71","--","133","72","11","6",-0.785737201293927,-0.746911828976714
"Boise State Broncos","Mountain West","79.6",17,"87.9",7,"67.8",36,"26.5",128,-1.30065680563186,-1.55821260872728,-0.811300779750569,1.55821260872728,"Mountain West","3-1","10.9","21","6","10.3-2.5","19.5","100.0","0.0","53.6","37.7","1.8","0.5","Mountain West",28,"21","21","31","84","14","28",-1.01776439638709,-0.527989396345608
"Penn State Nittany Lions","Big Ten","77.7",18,"75.6",18,"75.7",23,"28.8",125,-1.27490122532232,-1.27490122532232,-1.14612332377461,1.48094586779866,"Big Ten","4-0","18.8","8","--","10.2-2.1","4.7","100.0","0.0","15.9","60.5","9.1","3.5","Big Ten",9,"8","7","98","21","22","20",-1.50759958602821,-0.55374497665515
"USC Trojans","Big Ten","77.5",19,"67.5",34,"81.8",14,"42.9",95,-1.24914564501278,-0.862811940369652,-1.37792354656049,0.708278458512401,"Big Ten","3-1","15.7","11","1","8.4-3.7","2.4","97.2","0.0","4.1","20.8","1.9","0.6","Big Ten",26,"11","11","53","33","45","70",-1.06932599529668,-0.69540066835763
"Navy Midshipmen","American","77.1",20,"90.2",5,"49.1",77,"59.1",44,-1.22339006470324,-1.60972376934637,0.244678012940648,-0.605256137274234,"American","4-0","-2.2","76","11","8.3-4.0","0.2","97.4","0.0","11.9","4.3","0.0","0.0","American",31,"76","--","132","69","13","5",-0.940421998022702,-0.798422989595798
"Kansas State Wildcats","Big 12","75.6",21,"70.3",27,"71.9",31,"52.6",66,-1.1976344843937,-1.04310100253645,-0.940078681298278,-0.0386333704643128,"Big 12","4-1","11.2","20","12","8.9-3.4","4.6","99.0","0.0","13.8","17.6","1.3","0.4","Big 12",23,"20","20","43","63","32","53",-1.14666839366107,-0.804861884673183
"Texas A&M Aggies","SEC","75.1",22,"62.2",48,"78.8",18,"52.2",67,-1.17187890408415,-0.502233816036066,-1.27490122532232,-0.0128777901547709,"SEC","4-1","11.9","18","--","8.0-4.1","0.2","97.9","0.0","1.3","12.1","0.7","0.2","SEC",17,"18","25","28","22","15","27",-1.30135319038984,-0.740472933899329
"LSU Tigers","SEC","74.9",23,"88.3",6,"49.3",76,"33.3",118,-1.14612332377461,-1.58396818903682,0.218922432631106,1.30065680563186,"SEC","4-1","13.9","15","4","7.7-4.3","0.2","95.4","0.0","1.7","14.4","1.1","0.4","SEC",20,"15","13","29","14","28","35",-1.22401079202546,-0.302628068637117
"Kentucky Wildcats","SEC","73.3",24,"55.2",60,"82.3",9,"56.1",54,-1.12036774346507,-0.193166852321564,-1.5067014481082,-0.347700334178815,"SEC","3-2","9.5","23","15","6.5-5.5","0.2","82.5","0.0","0.0","2.8","0.1","0.0","SEC",33,"23","--","4","8","31","59",-0.888860399113111,-0.791984094518412
"Illinois Fighting Illini","Big Ten","73.0",25,"59.9",55,"70.1",33,"75.3",8,-1.09461216315553,-0.321944753869273,-0.888567520679194,-1.53245702841774,"Big Ten","4-1","5.6","43","3","7.9-4.1","0.6","97.0","0.0","0.4","6.9","0.1","0.0","Big Ten",15,"43","24","20","45","39","57",-1.35291478929944,-0.959395366530434
"SMU Mustangs","ACC","72.7",26,"48.9",70,"81.9",13,"63.0",35,-1.06885658284599,0.0643889507738547,-1.40367912687003,-0.837056360060111,"ACC","4-1","11.3","19","7","8.9-3.4","2.8","99.0","0.0","11.0","13.1","1.1","0.4","ACC",40,"19","--","95","53","44","29",-0.70839480292954,-0.811300779750569
"Arkansas Razorbacks","SEC","72.4",27,"66.8",38,"72.2",29,"44.5",89,-1.04310100253645,-0.759789619131485,-0.991589841917362,0.55374497665515,"SEC","3-2","8.5","27","4","5.9-6.1","0.0","62.6","0.0","0.1","0.8","0.1","0.0","SEC",54,"27","--","38","10","26","36",-0.347463610562398,-0.560183871732535
"Nebraska Cornhuskers","Big Ten","71.9",28,"72.2",23,"69.9",35,"25.7",129,-1.0173454222269,-1.14612332377461,-0.837056360060111,1.58396818903682,"Big Ten","4-1","8.1","29","7","7.3-4.8","0.1","93.1","0.0","0.1","2.6","0.1","0.0","Big Ten",47,"29","--","102","13","24","13",-0.527929206745969,-0.354139229256201
"TCU Horned Frogs","Big 12","70.9",29,"77.3",16,"56.0",65,"47.3",82,-0.991589841917362,-1.32641238594141,-0.0643889507738547,0.373455914488357,"Big 12","3-2","6.8","37","7","7.2-4.9","1.6","87.8","0.0","5.0","3.2","0.1","0.0","Big 12",51,"37","--","33","68","46","73",-0.424806008926785,-0.502233816036066
"Maryland Terrapins","Big Ten","70.4",30,"68.4",30,"62.9",49,"56.0",55,-0.96583426160782,-0.96583426160782,-0.476478235726524,-0.321944753869273,"Big Ten","3-2","8.0","30","2","6.3-5.7","0.3","75.1","0.0","0.1","0.6","0.0","0.0","Big Ten",65,"30","--","51","25","37","46",-0.0638748165596433,-0.682522878202859
"Arizona State Sun Devils","Big 12","70.3",31,"57.7",58,"76.1",21,"44.6",88,-0.940078681298278,-0.244678012940648,-1.1976344843937,0.527989396345608,"Big 12","3-1","4.0","54","4","6.3-5.7","0.0","68.4","0.0","0.7","0.8","0.0","0.0","Big 12",48,"54","--","100","42","58","58",-0.502148407291173,-0.463600445571754
"Missouri Tigers","SEC","70.1",32,"62.3",47,"72.1",30,"50.7",70,-0.914323100988736,-0.527989396345608,-0.96583426160782,0.0643889507738547,"SEC","4-0","14.1","14","1","9.0-3.0","0.4","99.5","0.0","1.6","32.0","1.7","0.5","SEC",19,"14","9","120","16","29","10",-1.24979159148025,-0.585939452042077
"Iowa Hawkeyes","Big Ten","69.3",33,"48.8",71,"81.2",15,"54.7",58,-0.888567520679194,0.0901445310833965,-1.35216796625095,-0.244678012940648,"Big Ten","3-1","9.3","24","--","7.8-4.3","0.3","94.7","0.0","1.9","4.7","0.2","0.0","Big Ten",43,"24","--","90","29","25","23",-0.631052404565152,-0.598817242196848
"Cincinnati Bearcats","Big 12","69.0",34,"82.7",12,"43.9",91,"48.2",77,-0.862811940369652,-1.42943470717957,0.605256137274234,0.244678012940648,"Big 12","3-2","4.4","53","6","6.0-6.1","0.2","61.2","0.0","1.5","0.7","0.0","0.0","Big 12",77,"53","--","86","43","23","22",0.245494776897907,-0.360578124333586
"Utah Utes","Big 12","68.9",35,"46.1",81,"82.2",11,"56.2",53,-0.837056360060111,0.347700334178815,-1.45519028748912,-0.373455914488357,"Big 12","4-1","7.1","36","14","7.8-4.3","0.9","94.2","0.0","4.9","5.1","0.2","0.0","Big 12",35,"36","18","71","60","35","32",-0.837298800203519,-0.579500556964692
"Tulane Green Wave","American","68.2",36,"67.3",36,"60.0",58,"57.2",49,-0.811300779750569,-0.811300779750569,-0.244678012940648,-0.476478235726524,"American","3-2","6.5","40","15","9.3-3.4","20.0","99.6","0.0","52.0","6.4","0.1","0.0","American",62,"40","--","45","106","34","43",-0.141217214924031,-0.585939452042077
"Vanderbilt Commodores","SEC","68.0",37,"71.1",25,"52.5",70,"67.2",24,-0.785545199441027,-1.09461216315553,0.0643889507738547,-1.12036774346507,"SEC","2-2","3.3","57","3","4.4-7.6","0.0","16.4","0.0","0.0","0.0","0.0","0.0","SEC",82,"57","--","61","3","53","62",0.374398774171886,-0.734034038821943
"South Carolina Gamecocks","SEC","68.0",38,"37.9",92,"84.4",7,"59.6",43,-0.759789619131485,0.631011717583776,-1.55821260872728,-0.631011717583776,"SEC","3-1","9.1","25","4","6.5-5.5","0.0","75.7","0.0","0.0","3.8","0.1","0.0","SEC",30,"25","--","64","7","9","17",-0.966202797477498,-0.579500556964692
"Colorado Buffaloes","Big 12","67.9",39,"67.4",35,"65.9",42,"37.0",105,-0.734034038821943,-0.837056360060111,-0.656767297893317,0.96583426160782,"Big 12","4-1","8.3","28","24","8.1-4.2","1.5","95.1","0.0","15.5","13.1","0.7","0.2","Big 12",24,"28","--","42","61","65","89",-1.12088759420627,-0.315505858791888
"Michigan Wolverines","Big Ten","67.4",40,"41.6",85,"75.8",22,"70.0",20,-0.708278458512401,0.450722655416983,-1.17187890408415,-1.22339006470324,"Big Ten","4-1","9.0","26","6","7.4-4.6","0.1","94.3","0.0","1.5","8.9","0.3","0.1","Big Ten",12,"26","10","15","18","17","26",-1.43025718766382,-0.663206192970703
"Virginia Tech Hokies","ACC","67.2",41,"57.6",59,"67.2",37,"60.2",41,-0.682522878202859,-0.218922432631106,-0.785545199441027,-0.682522878202859,"ACC","2-3","6.1","42","7","6.0-6.0","1.3","64.2","0.0","1.4","0.7","0.0","0.0","ACC",83,"42","--","22","67","61","92",0.400179573626682,-0.592378347119463
