defteam,avg_defensive_epa,total_pass_plays,pressured_plays,pressure_rate,explosive_plays_allowed,total_plays,explosive_play_rate_allowed,completions_allowed,pass_attempts_allowed,completion_pct_allowed,total_pass_yards_allowed,yards_per_pass_attempt_allowed,total_rush_yards_allowed,rush_attempts_allowed,yards_per_rush_attempt_allowed,total_turnovers,turnover_rate,sack_rate,third_down_conversions_allowed,third_down_attempts,third_down_conversion_rate_allowed,red_zone_possessions_allowed,red_zone_scores_allowed,total_points_allowed,total_games,points_per_game_allowed
WAS,0.07420189,698,83,0.118911175,106,1444,0.073407202,396,698,0.567335244,4627,6.628939828,2155,455,4.736263736,16,0.011080332,0.055873926,94,226,0.415929204,0,93,14206,17,835.6470588
ARI,0.062281235,606,57,0.094059406,110,1370,0.080291971,347,606,0.572607261,3846,6.346534653,2434,487,4.997946612,15,0.010948905,0.054455446,97,205,0.473170732,0,83,14497,17,852.7647059
PHI,0.049797158,815,104,0.127607362,110,1523,0.07222587,447,815,0.548466258,4888,5.997546012,1877,407,4.611793612,19,0.012475378,0.057668712,114,247,0.461538462,0,84,19269,18,1070.5
SEA,0.040194761,699,99,0.141630901,111,1482,0.074898785,390,699,0.557939914,4259,6.092989986,2352,479,4.910229645,19,0.012820513,0.067238913,107,231,0.463203463,0,83,16769,17,986.4117647
TEN,0.033262448,690,82,0.11884058,93,1415,0.065724382,387,690,0.560869565,4181,6.05942029,1831,451,4.059866962,12,0.008480565,0.065217391,89,231,0.385281385,0,78,13791,17,811.2352941
CAR,0.01565691,552,73,0.132246377,93,1323,0.070294785,309,552,0.559782609,3109,5.632246377,2081,465,4.475268817,12,0.009070295,0.048913043,84,221,0.380090498,0,73,8428,17,495.7647059
CIN,0.008811697,677,106,0.156573117,114,1369,0.083272462,364,677,0.537666174,4480,6.617429838,2145,409,5.244498778,25,0.018261505,0.064992614,87,213,0.408450704,0,77,15658,17,921.0588235
GB,0.005546624,765,117,0.152941176,114,1572,0.072519084,406,765,0.530718954,4458,5.82745098,2415,489,4.938650307,22,0.013994911,0.065359477,112,256,0.4375,0,87,20997,19,1105.105263
DEN,0.004629747,675,100,0.148148148,108,1405,0.076868327,382,675,0.565925926,4302,6.373333333,2331,442,5.273755656,24,0.017081851,0.062222222,67,202,0.331683168,0,80,13951,17,820.6470588
DET,-0.010472351,833,135,0.162064826,123,1608,0.076492537,442,833,0.530612245,5545,6.656662665,1821,433,4.205542725,26,0.016169154,0.058823529,88,235,0.374468085,0,91,24096,20,1204.8
MIA,-0.014537529,739,138,0.186738836,88,1484,0.059299191,403,739,0.545331529,4394,5.945872801,1797,428,4.198598131,28,0.018867925,0.075778078,90,231,0.38961039,0,74,22339,18,1241.055556
LA,-0.015039502,746,93,0.124664879,105,1489,0.070517126,389,746,0.521447721,4472,5.99463807,1895,419,4.522673031,17,0.011417058,0.058981233,91,237,0.383966245,0,80,18026,18,1001.444444
LAC,-0.015585334,700,93,0.132857143,103,1432,0.071927374,389,700,0.555714286,4580,6.542857143,1924,433,4.443418014,20,0.01396648,0.068571429,89,232,0.38362069,0,72,15696,17,923.2941176
IND,-0.01606767,669,104,0.155455904,96,1491,0.064386318,370,669,0.553064275,4157,6.213751868,2105,490,4.295918367,24,0.016096579,0.076233184,89,240,0.370833333,0,89,19673,17,1157.235294
